scenario,component,metric,value
wan_outage_edge_only,ev_traffic,low_battery_evs,76
wan_outage_edge_only,ev_traffic,v2g_capable_on_entry,227
wan_outage_edge_only,ev_traffic,served_evs,575
wan_outage_edge_only,ev_traffic,served_ratio_pct,96.48
wan_outage_edge_only,rsu_awareness,feature_frames,9504
wan_outage_edge_only,rsu_awareness,unique_sensed_events,9504
wan_outage_edge_only,rsu_awareness,unique_sensed_evs,596
wan_outage_edge_only,rsu_awareness,charge_request_evs_available,596
wan_outage_edge_only,rsu_awareness,sensing_coverage_pct,100.0
wan_outage_edge_only,rsu_awareness,features_per_minute,6.6
wan_outage_edge_only,rsu_awareness,rsu_range_km,7.5
wan_outage_edge_only,lava_decision_engine,route_decisions,596
wan_outage_edge_only,lava_decision_engine,v2g_decisions,1440
wan_outage_edge_only,lava_decision_engine,route_deferrals,25
wan_outage_edge_only,lava_decision_engine,avg_route_confidence,0.784
wan_outage_edge_only,lava_decision_engine,avg_v2g_confidence,0.876
wan_outage_edge_only,lava_decision_engine,latency_ms_avg,0.0166
wan_outage_edge_only,lava_decision_engine,latency_ms_p50,0.016
wan_outage_edge_only,lava_decision_engine,latency_ms_p95,0.024
wan_outage_edge_only,lava_decision_engine,latency_ms_max,0.344
wan_outage_edge_only,station_operations,total_energy_delivered_kwh,17678.704
wan_outage_edge_only,station_operations,total_v2g_supplied_kwh,1912.6
wan_outage_edge_only,grid_response,avg_grid_stress,0.8385
wan_outage_edge_only,grid_response,peak_grid_stress,1.0
wan_outage_edge_only,grid_response,stress_minutes_over_0_80,829
wan_outage_edge_only,grid_response,baseline_stress_minutes_over_0_80,1408
wan_outage_edge_only,grid_response,stress_event_reduction_pct,41.12
wan_outage_edge_only,grid_response,demand_prediction_accuracy_pct,97.91
wan_outage_edge_only,grid_response,avg_frequency_hz,49.9683
wan_outage_edge_only,v2g_settlement,invitations,12269
wan_outage_edge_only,v2g_settlement,acceptances,9563
wan_outage_edge_only,v2g_settlement,utilization_pct,77.94
wan_outage_edge_only,v2g_settlement,supplied_kwh,1912.6
wan_outage_edge_only,v2g_settlement,revenue,1214.73
wan_outage_edge_only,v2g_settlement,credits_awarded,3825
wan_outage_edge_only,v2g_settlement,credit_ledger_mode,on_chain
wan_outage_edge_only,v2g_settlement,credit_ledger_transactions,1
wan_outage_edge_only,v2g_settlement,credit_ledger_failures,0
wan_outage_edge_only,blockchain_validation,chain_file,wan_outage_edge_only_chain.jsonl
wan_outage_edge_only,blockchain_validation,records,2036
wan_outage_edge_only,blockchain_validation,valid_hash_chain,True
wan_outage_edge_only,blockchain_validation,last_block_hash,e37b362adeac7e0bcac43e2b19824bf26423aa9c0262cbf5cfe418c4e630f944
wan_outage_edge_only,blockchain_validation,consensus_pct,100.0
wan_outage_edge_only,edge_deployment,scenario,wan_outage_edge_only
wan_outage_edge_only,edge_deployment,wan_outage,True
wan_outage_edge_only,edge_deployment,offline_decision_continuity_pct,100.0
wan_outage_edge_only,edge_deployment,docker_image,aei-v2g:pi
